"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","        Nonresidential structures8",5.860,6.521,6.501,6.583,7.341,7.536,7.684,7.591,7.744,8.406,8.766,8.626,8.674,8.663,8.610,8.677,8.752,8.877,9.134,9.462,9.757,10.248,10.921,11.639,12.534,13.436,14.476,16.479,18.449,19.354,21.033,23.065,25.745,28.138,32.009,34.534,33.651,33.943,34.747,35.409,35.973,37.494,38.962,40.219,40.948,40.957,42.163,43.654,45.549,46.708,48.498,50.726,52.307,54.373,57.227,59.649,61.820,66.502,74.926,84.106,89.228,94.064,92.445,91.872,95.351,100.000,101.460,107.270,109.552,109.807,112.868,116.931
"30","        Residential structures9",8.815,9.561,9.697,9.943,10.656,10.955,11.036,11.083,11.325,11.627,11.661,11.634,11.660,11.744,11.768,11.791,11.700,11.801,12.156,12.616,13.069,13.777,14.722,15.203,16.103,17.105,18.650,20.591,22.512,23.945,26.345,29.601,32.912,36.547,39.591,41.690,42.577,43.758,44.789,46.535,48.275,49.954,51.552,52.830,53.557,54.217,56.434,58.349,60.598,61.919,63.699,65.476,68.175,71.201,74.402,76.305,80.091,86.510,92.841,98.977,100.685,100.035,97.025,97.220,99.057,100.000,104.257,109.732,112.484,116.355,121.460,127.234
"31","    Private fixed investment in information processing equipment and software",366.800,374.811,377.482,385.618,408.670,401.416,400.028,403.957,408.633,420.235,440.592,445.687,449.684,447.225,441.071,430.632,415.317,409.020,398.317,378.451,373.200,370.528,373.611,377.158,368.455,360.341,363.022,369.833,392.525,395.933,390.971,376.351,373.641,376.240,385.160,390.282,380.034,363.858,350.562,340.042,330.550,326.068,318.889,310.706,305.075,288.732,277.215,265.811,252.717,232.069,213.257,191.465,176.748,170.421,160.819,152.192,140.999,133.222,127.629,122.434,117.896,113.406,109.067,104.638,102.678,100.000,97.864,95.259,92.534,89.657,87.805,86.445
"Legend / Footnotes:"
"1. Includes petroleum and mineral exploration."
"2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational structures, net purchases of used structures, and brokers' commissions on the sale of structures."
"3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related equipment, and office and accounting equipment."
"4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified."
"5. Excludes software embedded, or bundled, in computers and other equipment."
"6. Includes research and development expenditures for software."
"7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures, and brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs."
"8. Excludes net purchases of used structures and brokers' commissions on the sale of structures."
"9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs."
