"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    87","      Food services and drinking places",156062,161731,162610,174201,181035,188474,199337,211243,225491,237245,249982,256803,247927,256180,278374,292452,302130,322092,345196,367813,370215,397003
"    88","  Other services, except government",121721,134812,141634,146125,177050,173482,185110,190499,186853,198366,203851,220268,195058,206964,215791,228274,228206,244551,249301,272629,280896,297602
"    89","Government",519588,538447,582404,628068,686237,740428,790810,848401,913001,985077,1045804,1138387,1178750,1227152,1227325,1230273,1213870,1219357,1229565,1260078,1296663,1388917
"    90","  Federal",150816,145699,157105,164616,189024,217008,252663,280124,301450,324924,338081,389864,412981,446278,435663,429469,393261,377822,367003,367617,371550,409004
"    91","    General government",131612,127701,137063,144245,165543,194414,229916,258625,276288,295197,304846,352190,376163,407137,394389,382546,345460,332296,330614,333097,339716,374524
"    92","      National defense",93048,90533,101254,103967,116789,134860,164054,185356,195962,207496,218877,253466,264616,282106,280988,268691,237501,224496,215463,214748,217814,243624
"    93","      Nondefense",38564,37168,35809,40277,48755,59554,65861,73269,80326,87701,85969,98725,111547,125031,113400,113854,107959,107800,115151,118349,121902,130901
"    94","    Government enterprises",19204,17999,20042,20372,23481,22594,22747,21499,25161,29727,33234,37673,36818,39141,41274,46923,47801,45526,36389,34520,31834,34479
"    95","  State and local",368772,392748,425299,463452,497213,523420,538147,568277,611552,660152,707723,748523,765769,780874,791662,800804,820609,841535,862562,892461,925112,979913
"    96","    General government",304169,326671,357333,392074,425219,444259,451022,472334,507714,542591,578347,605329,610518,612100,616846,622592,638884,656659,676143,702552,730695,777629
"    97","    Government enterprises",64603,66076,67965,71377,71994,79161,87125,95942,103838,117561,129376,143194,155251,168774,174816,178210,181725,184875,186419,189909,194417,202285
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",3115677,3151518,3238945,3445567,3297111,3208087,3308399,3624252,4084904,4304189,4547659,4769097,3680897,4129624,4717770,4892713,5064791,5247772,4782608,4649486,4949010,5303547
"    100","    Private services-producing industries [2]",3180501,3464002,3820298,4297889,4323082,4293321,4583792,5003779,5478404,5827479,6193179,6368881,5610897,6073535,6511820,6866854,7227836,7716446,7854646,8159657,8714560,9275834
"    101","    Information-communications-technology-producing industries [3]",488725,543120,645151,742559,708388,628652,586941,568256,581689,616464,619204,618458,567596,594841,643252,699536,680423,736157,699277,711474,741080,"..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
