"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    42","    Rail transportation",38152,38138,38690,39260,39849,40488,41448,45679,51528,58115,60665,68392,54710,66432,75816,79137,82412,88635,81760,74877,78556,85104
"    43","    Water transportation",24757,24789,25879,27350,27009,25991,30142,35320,37962,42385,47535,52849,43580,45163,45288,46646,43929,48567,48019,46926,48325,51783
"    44","    Truck transportation",162011,174069,185753,198502,199336,203133,208887,231010,255943,272753,279027,283670,231357,251530,278367,297770,307384,333506,333093,326550,341639,363948
"    45","    Transit and ground passenger transportation",24274,26487,26348,26050,26871,27447,28073,33374,37080,42409,44961,45094,44933,45138,49239,50998,55597,61833,65772,67806,73279,74240
"    46","    Pipeline transportation",24251,24129,24135,23219,22702,22151,22365,23045,22829,24245,25742,31245,27305,31190,34988,36441,38768,41793,43681,44364,47014,51114
"    47","    Other transportation and support activities",85242,95489,105470,117472,121225,124980,129719,141509,151734,166618,177803,177108,154405,164522,178095,186247,194418,208166,217963,221715,232770,248430
"    48","    Warehousing and storage",26342,28633,31094,33819,36334,39693,45257,49688,53168,61495,69036,76898,78611,88469,97611,108889,112877,116223,120085,126558,133434,143728
"    49","  Information",730598,808383,913487,1008737,1039341,1045319,1049194,1084641,1131636,1183888,1220793,1254914,1219667,1268915,1324820,1382542,1437340,1510065,1570050,1659309,1738393,1865696
"    50","    Publishing industries, except internet (includes software)",190768,214109,238696,259553,262137,264849,261936,279744,291922,304505,311075,312885,288333,289258,298185,296240,308687,320880,322005,334783,364706,402166
"    51","    Motion picture and sound recording industries",89500,96853,104703,115294,121981,122585,130593,129392,133440,135886,137057,131082,123112,129789,128331,131697,135195,134813,142543,146723,150461,159724
"    52","    Broadcasting and telecommunications",404143,446855,506107,563091,581215,576711,574113,585905,609608,634554,654186,672762,664869,687338,709654,733115,752312,793147,814841,854834,864368,891247
"    53","    Data processing, internet publishing, and other information services",46187,50566,63981,70799,74008,81174,82551,89601,96666,108943,118475,138186,143353,162530,188651,221490,241147,261226,290661,322969,358858,412559
"    54","  Finance, insurance, real estate, rental, and leasing",2411854,2610555,2834698,3127995,3221574,3344286,3562497,3867706,4244494,4486217,4682126,4653313,4472660,4587519,4736375,5036779,5305271,5635515,5911681,6200936,6556266,6925017
"    55","    Finance and insurance",1005902,1113095,1235624,1393746,1388939,1405822,1499045,1612537,1746398,1877685,2023066,1992742,1870491,1908229,1968832,2140552,2270621,2427394,2532471,2627694,2803338,2982521
"    56","      Federal Reserve banks, credit intermediation, and related activities",393815,429934,478399,526342,555587,586006,613872,630981,670480,696807,715401,701177,688981,684725,677336,748453,762871,794485,802962,848868,904057,951946
"    57","      Securities, commodity contracts, and investments",205979,243947,292429,357165,312813,286399,307988,344535,382013,446925,501538,457314,436254,454393,452234,478470,518632,547392,550815,548904,590574,651376
"    58","      Insurance carriers and related activities",349963,373823,390195,420321,439606,462013,506927,556419,605731,636032,691789,715905,645369,660134,725442,796346,850381,941040,1015764,1077768,1141470,1197197
"    59","      Funds, trusts, and other financial vehicles",56145,65392,74602,89918,80933,71405,70258,80603,88174,97921,114338,118345,99887,108977,113820,117282,138737,144478,162931,152153,167237,182002
"    60","    Real estate and rental and leasing",1405952,1497459,1599074,1734249,1832635,1938464,2063452,2255168,2498096,2608532,2659061,2660572,2602169,2679290,2767543,2896227,3034650,3208121,3379209,3573243,3752928,3942497
"    61","      Real estate",1256064,1327067,1410828,1524115,1622765,1736554,1844518,2024215,2247553,2346029,2388965,2371040,2351255,2410765,2482818,2597576,2717083,2870256,3046842,3240152,3415722,3592495
"    62","        Housing",857869,911352,967968,1028524,1103724,1152898,1196879,1267217,1358465,1445804,1504514,1556501,1594493,1606854,1658694,1708257,1753088,1837896,1948845,2047777,2135120,2233960
"    63","        Other real estate",398195,415715,442860,495591,519041,583656,647639,756998,889088,900225,884451,814539,756763,803911,824124,889319,963995,1032360,1097997,1192375,1280602,1358535
"    64","      Rental and leasing services and lessors of intangible assets",149887,170392,188246,210134,209870,201909,218934,230954,250543,262503,270095,289531,250913,268525,284725,298651,317567,337865,332367,333091,337207,350001
"    65","  Professional and business services",1345870,1510295,1653855,1809932,1835322,1852181,1944179,2100281,2281235,2438509,2643356,2739155,2593598,2712220,2868584,3009043,3095105,3280590,3421155,3593245,3796629,4006532
"    66","    Professional, scientific, and technical services",799825,889601,977642,1073852,1103469,1122583,1171597,1247565,1346169,1432019,1544501,1624266,1559571,1617956,1710797,1785035,1820716,1919014,1997610,2099801,2232055,2359301
"    67","      Legal services",155643,170184,180905,187739,200687,212020,238963,252041,270158,280968,290423,292145,279853,285994,297749,306975,309179,317522,330055,340698,360130,382794
"    68","      Computer systems design and related services",123875,153588,186188,210685,205236,199741,197725,201584,217835,230453,256941,281934,279662,305029,330931,354201,358785,377691,381601,408273,439549,469582
"    69","      Miscellaneous professional, scientific, and technical services",520307,565830,610548,675428,697546,710821,734909,793940,858177,920598,997137,1050187,1000056,1026934,1082116,1123860,1152752,1223800,1285955,1350830,1432376,1506925
"    70","    Management of companies and enterprises",195164,221660,240135,260189,259555,261756,280575,320801,354808,383657,433424,432647,400165,422154,446492,478778,498995,513975,525420,535507,548865,574643
"    71","    Administrative and waste management services",350881,399033,436078,475892,472298,467842,492007,531915,580258,622833,665431,682242,633862,672110,711295,745230,775394,847601,898125,957937,1015709,1072588
"    72","      Administrative and support services",308911,352565,385370,423179,418912,414373,434705,469879,513496,549378,588906,602711,559026,589673,628101,661652,690314,757808,808259,863823,913432,965221
"    73","      Waste management and remediation services",41969,46468,50708,52713,53386,53468,57302,62036,66762,73455,76525,79531,74836,82437,83194,83578,85080,89793,89867,94114,102276,107367
"    74","  Educational services, health care, and social assistance",929400,987913,1038644,1110029,1208330,1306760,1395932,1482522,1579333,1674644,1780920,1898598,1997598,2090905,2173593,2265454,2313658,2400754,2530482,2656029,2781476,2934684
"    75","    Educational services",113120,121743,129968,141721,155568,166292,176653,185356,195127,213484,236608,257304,273519,292913,306430,309438,319754,330762,341261,348977,357330,369961
"    76","    Health care and social assistance",816280,866170,908677,968308,1052762,1140468,1219279,1297167,1384206,1461160,1544312,1641295,1724080,1797993,1867164,1956016,1993903,2069992,2189221,2307052,2424146,2564724
"    77","      Ambulatory health care services",388193,408020,425841,452569,492480,529560,566791,607354,642926,671753,707877,745514,773438,803224,833752,868802,874752,910989,968516,1019528,1068272,1146389
"    78","      Hospitals",271305,289792,303182,320114,345483,381988,408730,435180,469551,501798,529809,569055,610637,636461,667170,708843,732550,758020,803408,850217,895349,933170
"    79","      Nursing and residential care facilities",95206,102046,105889,112511,121171,128413,137369,144513,154855,163216,172632,181412,186589,195721,201868,208930,213892,221104,231076,240741,250961,264112
"    80","      Social assistance",61576,66313,73765,83115,93628,100507,106389,110120,116874,124393,133994,145314,153415,162586,164374,169440,172710,179879,186222,196565,209564,221054
"    81","  Arts, entertainment, recreation, accommodation, and food services",550825,582590,618501,670184,689628,720442,757982,807183,854994,912487,955904,978419,955174,979225,1030042,1093441,1139417,1213208,1297166,1363609,1411879,1467808
"    82","    Arts, entertainment, and recreation",127378,133528,142563,151457,159990,167271,180458,191883,202012,222694,241508,247533,244098,245904,252149,264524,274075,288443,305333,320194,340357,352357
"    83","      Performing arts, spectator sports, museums, and related activities",59313,64578,69219,75863,83005,90978,97441,101118,106403,116430,126641,131770,133254,134044,136600,144745,149523,159114,169451,177749,189924,195351
"    84","      Amusements, gambling, and recreation industries",68065,68950,73344,75594,76985,76293,83017,90765,95610,106264,114868,115763,110844,111860,115549,119779,124552,129329,135882,142445,150433,157005
"    85","    Accommodation and food services",423447,449061,475939,518728,529638,553171,577523,615300,652982,689793,714395,730885,711076,733321,777894,828917,865342,924765,991833,1043415,1071522,1115451
"    86","      Accommodation",116482,123761,133821,150320,144684,147634,151249,163140,177409,187473,192793,197994,181937,185668,198741,214942,225962,244337,258130,266586,273893,270319
"    87","      Food services and drinking places",306965,325301,342117,368408,384954,405537,426274,452160,475573,502320,521602,532891,529139,547653,579153,613975,639380,680428,733703,776830,797628,845132
"    88","  Other services, except government",352032,383544,402461,425860,442624,458377,468928,487777,497552,523411,534334,550536,521593,534956,548882,576265,584488,620810,641823,674416,696979,732299
"    89","Government",1665150,1729765,1834753,1951093,2079171,2214828,2343155,2479671,2623273,2777074,2932868,3119994,3223803,3335116,3364387,3389762,3426379,3491074,3570054,3647909,3750367,3893636
"    90","  Federal",541542,542131,563103,588151,619443,679495,751543,805637,852723,900473,939975,1022073,1076307,1143722,1147914,1143355,1097067,1093888,1099326,1112419,1131446,1172591
"    91","    General government",465133,464486,482032,504560,535807,592258,664595,717996,764639,805088,840591,921250,979160,1047131,1054141,1046209,1003868,999366,1005228,1018627,1040016,1085043
"    92","      National defense",304866,300962,313270,321572,339792,374582,428318,466348,497159,522569,549978,606077,637328,675588,688109,676302,637602,624416,613734,614228,622314,651566
"    93","      Nondefense",160267,163523,168762,182988,196015,217676,236276,251648,267480,282519,290613,315174,341831,371542,366032,369907,366266,374950,391495,404399,417702,433477
"    94","    Government enterprises",76409,77645,81071,83591,83636,87238,86948,87641,88084,95384,99384,100823,97147,96591,93773,97146,93199,94522,94097,93793,91430,87548
"    95","  State and local",1123608,1187635,1271650,1362942,1459728,1535332,1591613,1674034,1770550,1876601,1992893,2097921,2147496,2191394,2216473,2246407,2329311,2397185,2470729,2535490,2618921,2721046
"    96","    General government",993509,1052851,1130474,1216056,1307538,1374829,1421157,1491635,1574762,1664643,1769533,1857458,1891044,1918193,1929958,1948071,2019805,2077843,2143606,2201074,2275809,2365836
"    97","    Government enterprises",130099,134784,141176,146885,152189,160503,170456,182398,195788,211959,223361,240463,256452,273201,286515,298336,309506,319342,327124,334416,343111,355210
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",5041816,5143366,5322612,5665995,5481206,5378184,5610806,6126455,6784184,7193567,7565756,7758239,6354488,6903897,7647027,7911559,8246367,8545411,8039637,7861289,8347900,8963453
"    100","    Private services-producing industries [2]",8686353,9343654,10114947,11006782,11327875,11585243,12187284,13084033,14105491,14960714,15739876,16110975,15341186,16183350,16988083,17885526,18618601,19668836,20476425,21267211,22347359,23605288
"    101","    Information-communications-technology-producing industries [3]",993709,1087193,1224497,1375449,1318705,1249543,1240064,1274481,1337464,1411655,1471748,1522628,1456424,1532264,1617629,1684899,1743031,1830393,1888227,1995420,2104014,"..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
