"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    63","        Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    64","      Rental and leasing services and lessors of intangible assets",1967,2147,2266,2501,2799,3047,3355,3632,3963,4326,4649,4964,5367,5777,6153,6685,7148,7256,7272,7347,8016,8735,9626,10813,12579,14495,15786,16615,17666,19092,20800,24027,28755,33629,38939,43006,47908,54272,59900,63990,66519,79516,86413,94481,92461,97473,105719,115487,123685,137678,148112
"    65","  Professional and business services",12864,14238,14672,16341,18839,20359,22096,22891,25404,27731,30195,30988,34576,36201,38689,42231,45263,49392,54051,60857,64742,70296,77575,83998,89935,99293,112199,123233,134090,150405,170527,197376,226391,257150,297230,322264,362791,418735,471690,518733,567758,642658,714885,781624,801653,858402,907912,975883,1071014,1190073,1353279
"    66","    Professional, scientific, and technical services",5619,6228,6530,7233,8326,9152,10011,10664,11886,13302,14811,15411,17368,18388,20165,22189,24046,26132,28498,32549,34670,37387,41780,46199,49536,54686,62150,68077,73787,81363,91345,106451,123387,142618,167599,185263,207861,238835,271461,299924,332186,377179,422261,461403,473480,506919,533026,564971,619541,694596,805572
"    67","      Legal services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",6978,7384,8019,9044,9528,10026,11054,13056,14436,15886,18303,20239,21029,23139,25543,29277,30893,34684,40885,45326,49803,56510,64709,71937,81367,92667,101485,111510,114514,124493,128640,131595,133086,143135,158405
"    68","      Computer systems design and related services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1977,2174,2351,2957,2787,2878,3561,4166,3858,3908,4545,5539,6790,7416,7829,9007,11465,13762,16452,19358,20886,23839,25348,27324,26586,29413,33837,37962,41309,45050,51383,59376,72697,91616,121284
"    69","      Miscellaneous professional, scientific, and technical services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",15091,16573,18128,20548,22356,24482,27165,28976,31242,34893,39302,42299,45967,50807,57972,68167,81029,94172,110262,120580,137172,158486,181404,200662,224233,255098,286939,311932,317657,337376,353004,373999,413757,459845,525883
"    70","    Management of companies and enterprises",5198,5781,5779,6442,7425,7816,8345,8262,9149,9590,10079,9928,11019,11296,11570,12571,13145,14187,15383,16901,17731,19417,20687,21321,22861,24930,27597,29951,33012,37383,42087,47704,52253,57387,64269,67070,75363,85930,93985,101621,104878,111150,118397,125639,130476,137756,147630,158751,169089,180671,196136
"    71","    Administrative and waste management services",2046,2229,2364,2666,3088,3392,3740,3966,4369,4839,5304,5648,6188,6517,6953,7471,8072,9073,10170,11407,12341,13492,15108,16478,17538,19676,22452,25205,27291,31659,37095,43221,50750,57145,65362,69931,79567,93970,106244,117188,130694,154329,174227,194582,197696,213726,227256,252161,282384,314807,351571
"    72","      Administrative and support services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",5642,6373,7182,8281,9170,9929,11206,12114,12901,14499,16772,19138,20674,23969,28694,33852,40743,46384,54196,58148,66644,79288,88719,98588,110659,130823,148361,166195,169422,182850,194052,216069,244256,274612,309803
