"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    77","      Ambulatory health care services",250899,258580,271198,288376,310977,334115,350508,375151,396997,423147,442347,480890,507366,531630,554864,573535,593523,611255,641510,679310,708287,746269
"    78","      Hospitals",165219,173125,182264,190093,206874,225911,244874,265194,274989,294768,310765,339925,367574,369827,382028,398067,405705,416610,438807,454485,473442,492960
"    79","      Nursing and residential care facilities",57907,61095,64937,69126,74506,80809,85565,90177,92833,97714,102481,110551,116458,120664,123176,125928,129068,132519,136857,142240,146281,152204
"    80","      Social assistance",39483,43018,47882,52610,55832,59704,65077,67743,72444,76899,80810,85665,87764,89666,88597,95951,101434,105978,111867,119275,126709,134628
"    81","  Arts, entertainment, recreation, accommodation, and food services",301782,322093,354054,386540,390728,413527,432128,461170,481238,511537,533504,542721,533281,555795,580917,621361,651327,690051,737340,770803,804737,839128
"    82","    Arts, entertainment, and recreation",80141,82845,90393,98994,96728,103788,111038,117867,122217,130479,137411,143183,144637,152247,158312,171233,177399,188767,192761,203649,214148,223496
"    83","      Performing arts, spectator sports, museums, and related activities",37156,40614,44490,49308,51823,56941,61964,65084,67097,73500,75572,81450,84867,87731,92714,101345,104262,112255,112588,118650,125669,131903
"    84","      Amusements, gambling, and recreation industries",42984,42231,45903,49687,44905,46847,49074,52783,55120,56979,61839,61733,59770,64516,65598,69889,73137,76512,80173,84999,88479,91593
"    85","    Accommodation and food services",221642,239248,263661,287546,293999,309738,321090,343303,359020,381058,396093,399538,388644,403549,422605,450127,473928,501285,544579,567153,590589,615632
"    86","      Accommodation",70738,75678,84153,93339,90080,92676,94153,102386,108938,115982,124473,123450,107432,112076,121826,128605,136678,142949,156072,158137,163175,167503
"    87","      Food services and drinking places",150903,163569,179508,194207,203919,217062,226937,240917,250082,265075,271620,276088,281213,291473,300779,321522,337250,358336,388507,409016,427414,448129
"    88","  Other services, except government",230311,248732,260827,279735,265574,284895,283818,297278,310699,325045,330483,330268,326535,327992,333090,347991,356282,376258,392522,401787,416083,434697
"    89","Government",1145563,1191319,1252349,1323025,1392934,1474399,1552345,1631271,1710271,1791997,1887064,1981608,2045053,2107964,2137061,2159489,2212508,2271716,2340490,2387831,2453704,2504720
"    90","  Federal",390727,396432,405998,423535,430419,462488,498880,525513,551273,575548,601894,632210,663326,697444,712251,713885,703806,716066,732323,744802,759896,763587
"    91","    General government",333521,336785,344969,360316,370264,397844,434679,459371,488351,509891,535745,569060,602997,639993,659752,663663,658408,667071,674614,685530,700300,710519
"    92","      National defense",211818,210429,212016,217605,223004,239722,264264,280992,301196,315072,331100,352611,372713,393482,407120,407610,400101,399920,398271,399480,404500,407942
"    93","      Nondefense",121703,126356,132953,142711,147260,158122,170416,178379,187154,194819,204644,216449,230284,246512,252632,256053,258307,267150,276344,286049,295800,302577
"    94","    Government enterprises",57206,59647,61029,63219,60155,64644,64200,66142,62922,65657,66149,63150,60330,57450,52498,50222,45398,48995,57708,59272,59596,53068
"    95","  State and local",754836,794887,846351,899491,962515,1011912,1053465,1105758,1158998,1216449,1285170,1349398,1381727,1410520,1424811,1445603,1508702,1555650,1608167,1643029,1693809,1741133
"    96","    General government",689340,726180,773141,823982,882319,930570,970135,1019301,1067048,1122052,1191186,1252129,1280526,1306093,1313112,1325479,1380921,1421183,1467463,1498522,1545114,1588207
"    97","    Government enterprises",65496,68707,73211,75509,80195,81342,83330,86456,91950,94398,93985,97269,101201,104427,111699,120125,127782,134467,140704,144507,148695,152924
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",1926139,1991848,2083667,2220428,2184094,2170097,2302407,2502204,2699282,2889379,3018097,2989142,2673591,2774273,2929257,3018846,3181576,3297640,3257029,3211804,3398890,3659905
"    100","    Private services-producing industries [2]",5505852,5879652,6294648,6708892,7004793,7291922,7603492,8080255,8627087,9133235,9546697,9742095,9730289,10109815,10476263,11018673,11390765,11952391,12621779,13107554,13632799,14329454
"    101","    Information-communications-technology-producing industries [3]",504984,544073,579346,632889,610317,620892,653122,706225,755774,795191,852544,904170,888828,937423,974377,985362,1062609,1094236,1188950,1283946,1362935,"..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
