"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    64","      Rental and leasing services and lessors of intangible assets",566,621,660,727,813,885,973,1057,1148,1245,1335,1429,1542,1659,1767,1913,2041,1741,1371,946,1148,1279,1397,1974,2756,3648,3520,3248,3003,2578,2624,2854,4239,5046,7016,8929,10275,11704,13085,13974,14215,19606,21652,24030,23566,24402,27044,30749,33857,38820,41295
"    65","  Professional and business services",4679,5188,5354,5965,6874,7420,8050,8344,9283,10239,11209,11503,12827,13480,14457,15821,17118,18553,20260,22987,23983,25990,28772,31596,33160,36170,40383,43915,46883,51793,55228,64095,72431,81912,97600,106503,117276,134221,150523,161858,178372,212195,237083,257269,269191,281788,296845,326680,372532,421658,507777
"    66","    Professional, scientific, and technical services",2327,2591,2714,3016,3463,3783,4130,4377,4909,5548,6205,6420,7274,7788,8584,9554,10524,11184,12022,13833,14200,15245,17074,19064,19965,21632,24081,26007,27348,29271,29541,35013,39554,45450,56911,63253,68547,78142,88907,95721,107877,118750,132912,140945,146553,152725,160068,171354,199406,232643,302299
"    67","      Legal services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3014,3057,3293,3757,3914,4095,4548,5551,6026,6484,7635,8407,8118,8886,8145,10087,9109,10787,14538,15006,14517,14769,17612,17100,21546,22386,25150,27980,28469,31369,33349,34944,34771,38858,51278
"    68","      Computer systems design and related services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1031,1118,1168,1599,1275,1222,1658,2108,1665,1420,1628,2333,3265,3300,2837,2895,3986,4906,6126,7609,6908,7675,6887,7269,4897,4853,5980,6899,7981,7879,10051,13091,20883,29873,46025
"    69","      Miscellaneous professional, scientific, and technical services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",6478,7010,7561,8477,9010,9928,10868,11405,12274,13729,14819,15266,15965,17086,18559,22032,26459,29757,36247,40638,47123,55699,64407,71352,81434,91511,101782,106066,110102,113477,116669,123319,143753,163911,204997
"    70","    Management of companies and enterprises",1619,1809,1808,2006,2318,2438,2598,2573,2834,2981,3127,3088,3409,3494,3579,3870,4066,4385,4763,5243,5503,6026,6419,6638,7108,7751,8634,9335,10264,11691,13107,14738,16098,17525,18839,19704,21718,24327,25578,27087,27578,37268,40021,44565,48475,52170,54538,61744,65384,68158,69431
"    71","    Administrative and waste management services",733,789,833,943,1093,1199,1322,1394,1540,1709,1878,1996,2144,2198,2293,2398,2528,2983,3475,3912,4280,4719,5280,5894,6087,6787,7668,8573,9271,10830,12580,14344,16779,18937,21850,23546,27010,31752,36038,39050,42917,56176,64150,71759,74163,76893,82239,93581,107743,120858,136047
"    72","      Administrative and support services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1369,1643,1958,2380,2758,2976,3346,3616,3819,4277,4947,5681,6145,7092,8561,10042,12183,13719,16553,17892,21028,24696,27308,30427,34017,45195,52189,58407,61100,62726,67123,77204,90222,101928,116213
"    73","      Waste management and remediation services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1160,1340,1517,1531,1523,1742,1933,2278,2268,2510,2721,2892,3126,3738,4019,4302,4596,5218,5297,5654,5983,7056,8730,8623,8900,10981,11960,13353,13063,14167,15116,16377,17520,18930,19834
"    74","  Educational services, health care, and social assistance",2543,2893,2903,2971,3037,3517,3710,4525,4033,4872,5221,5918,6704,7476,7889,8715,10142,12015,13049,14060,14913,17044,18981,21094,23701,25475,28326,31286,36219,41967,48237,54251,60791,71249,86560,96264,108920,120623,133420,147939,159964,192587,206269,229185,245146,270969,280276,289567,318923,343906,351658
"    75","    Educational services",615,621,623,675,750,920,1028,1158,1225,1347,1464,1694,1993,2169,2282,2510,2877,3097,3505,3905,4340,4731,4847,5281,5370,5219,5800,6458,7303,8727,9752,10953,11939,13356,15418,17616,18245,19192,20636,22703,23530,27654,30538,33798,34363,36171,37726,38764,41571,45784,43724
"    76","    Health care and social assistance",1928,2272,2281,2296,2287,2597,2682,3367,2807,3525,3756,4225,4711,5307,5607,6205,7265,8918,9544,10155,10574,12313,14135,15813,18331,20257,22526,24828,28916,33240,38485,43297,48853,57893,71142,78648,90674,101431,112784,125236,136434,164932,175731,195387,210783,234798,242550,250803,277352,298122,307934
"    77","      Ambulatory health care services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",4769,6023,6300,6209,5628,5777,6132,6610,6569,6586,7820,7986,9079,9518,11149,11397,12998,16064,21061,21994,26728,32059,38106,43990,49350,62102,64898,72861,79285,92666,95453,99889,114847,124226,137816
"    78","      Hospitals","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    79","      Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
