"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    151","      Taxes on production and imports less subsidies",22611,24183,25163,26611,28946,27653,29490,31454,33782,35905,36625,37359,36878,37549,37464,37524,38798,39850,40590,40595,41694
"    152","      Gross operating surplus",10999,12572,12645,12202,12868,13541,15130,14864,15096,12949,9979,11092,13948,13723,12053,11479,11903,11579,11721,11692,11911
"    153","    Other retail",290744,318824,328575,350808,368117,371839,394596,410984,439052,459661,457774,447875,438607,447027,458992,482270,506011,515701,539766,557925,580073
"    154","      Compensation of employees",169919,181816,191971,206125,209063,212302,219407,228418,238626,247316,254712,250324,234703,236369,243119,250524,258620,267323,280747,288089,299545
"    155","      Taxes on production and imports less subsidies",49810,53772,56006,61933,68981,66520,70463,76537,83776,89669,89984,89724,83656,88947,94335,98537,103693,107562,109876,112931,118003
"    156","      Gross operating surplus",71016,83236,80598,82750,90073,93018,104727,106029,116650,122676,113078,107827,120249,121712,121537,133209,143698,140816,149143,156905,162525
"    157","  Transportation and warehousing",257255,279997,290034,307829,308058,305677,321444,352062,375824,410382,413904,426803,404626,433036,451444,471965,491099,521928,563375,577445,608735
"    158","    Compensation of employees",166945,180704,191671,204266,207991,206300,209657,222028,231618,241003,255918,255642,241102,245460,259905,274751,283355,296700,319589,331844,351981
"    159","    Taxes on production and imports less subsidies",14974,17762,18777,20492,13550,19370,17625,21895,23238,23233,25731,26100,26514,25474,27397,28341,31441,33843,35745,37710,39551
"    160","    Gross operating surplus",75336,81531,79586,83071,86517,80008,94161,108139,120968,146147,132254,145061,137010,162101,164142,168872,176303,191385,208041,207891,217203
"    161","    Air transportation",54657,55170,57662,58103,49207,52049,54620,60834,61711,68041,73200,68704,71697,84177,84645,87826,94081,102908,116881,128711,135733
"    162","      Compensation of employees",29767,33336,36976,39610,41791,40779,38870,38399,36534,36857,39908,38372,35249,36815,39237,40570,43077,44408,48420,53555,56952
"    163","      Taxes on production and imports less subsidies",8812,10946,11700,13174,6945,13174,11008,15237,15590,15047,16838,16617,16851,15618,16645,17015,19355,20898,22202,23597,25048
"    164","      Gross operating surplus",16078,10888,8986,5319,470,-1904,4741,7198,9587,16138,16455,13714,19597,31744,28763,30240,31649,37602,46259,51559,53733
"    165","    Rail transportation",19966,22202,22581,23294,23335,21723,23446,25241,28015,32115,32372,37234,32914,33708,36451,39593,40802,43721,43734,39568,40479
"    166","      Compensation of employees",15274,16414,17029,16656,16407,16058,16363,16982,17904,18707,19287,20420,18831,18461,20593,22308,21618,23201,24261,21962,22438
"    167","      Taxes on production and imports less subsidies",-406,-72,-174,-248,-102,-590,-462,-576,-686,-522,-324,-332,-748,-1192,-541,34,-12,149,100,114,-172
"    168","      Gross operating surplus",5098,5860,5727,6886,7030,6255,7545,8835,10796,13931,13409,17146,14831,16440,16400,17252,19197,20371,19374,17492,18213
"    169","    Water transportation",6564,6479,6626,8048,8256,7038,8225,8639,8831,12715,14218,16426,15621,14634,14067,13117,16421,16152,15639,13585,14026
"    170","      Compensation of employees",3131,3040,3232,3265,3584,3697,3811,4188,4666,5090,5752,6080,5889,5999,6333,6554,6866,7142,7323,7033,7189
"    171","      Taxes on production and imports less subsidies",629,703,784,757,410,183,292,-223,153,48,210,498,274,519,563,242,706,789,868,795,955
